max_time;nodes;formula_size;sample_count;threads;parsing;simulation;visualization;
100;10;4;1000000;64;1380;11439596;54205;
100;10;4;1000000;64;485;10669225;12166;
100;10;4;1000000;64;444;11121473;25215;
100;10;4;1000000;64;576;10857373;42968;
100;10;4;1000000;64;426;10891548;122050;
100;20;4;1000000;64;1202;13221339;11444;
100;20;4;1000000;64;891;11787162;19481;
100;20;4;1000000;64;755;12040690;57239;
100;20;4;1000000;64;757;11860334;17767;
100;20;4;1000000;64;766;12286723;8920;
100;30;4;1000000;64;1576;15256455;7217;
100;30;4;1000000;64;1182;15118328;39548;
100;30;4;1000000;64;1079;12982775;8513;
100;30;4;1000000;64;1077;14682327;92302;
100;30;4;1000000;64;1246;13287042;8744;
100;40;4;1000000;64;1764;13257026;10412;
100;40;4;1000000;64;1515;14043763;99712;
100;40;4;1000000;64;1640;12868448;26358;
100;40;4;1000000;64;1409;12669385;13954;
100;40;4;1000000;64;1415;13503725;15352;
100;50;4;1000000;64;2202;15486952;10247;
100;50;4;1000000;64;1827;13515173;12450;
100;50;4;1000000;64;1721;13579016;13199;
100;50;4;1000000;64;1747;14684701;8389;
100;50;4;1000000;64;1747;17552872;24507;
100;60;4;1000000;64;2867;14087284;11985;
100;60;4;1000000;64;2230;14659674;13379;
100;60;4;1000000;64;2419;13924947;19248;
100;60;4;1000000;64;2127;13862880;9457;
100;60;4;1000000;64;2079;14176212;14321;
100;70;4;1000000;64;2819;18241569;11436;
100;70;4;1000000;64;2507;14789779;11818;
100;70;4;1000000;64;2430;18857615;13179;
100;70;4;1000000;64;2409;14983106;12560;
100;70;4;1000000;64;2422;15131706;9812;
100;80;4;1000000;64;3227;19505589;5730;
100;80;4;1000000;64;2778;19731877;5615;
100;80;4;1000000;64;2766;16868635;13731;
100;80;4;1000000;64;2764;18941047;17981;
100;80;4;1000000;64;2853;17950752;7208;
100;90;4;1000000;64;3982;22146918;6307;
100;90;4;1000000;64;3305;25249612;6344;
100;90;4;1000000;64;3228;30316013;6697;
100;90;4;1000000;64;3112;18856244;11167;
100;90;4;1000000;64;3093;18720692;10493;
100;100;4;1000000;64;4211;19759355;18830;
100;100;4;1000000;64;3636;19128345;180519;
100;100;4;1000000;64;3435;21709703;34710;
100;100;4;1000000;64;3542;20672536;31789;
100;100;4;1000000;64;3433;22554575;14796;
100;200;4;1000000;64;7773;36687018;10084;
100;200;4;1000000;64;7110;44263766;7777;
100;200;4;1000000;64;7025;40978106;9693;
100;200;4;1000000;64;7059;37445373;9326;
100;200;4;1000000;64;7024;42324900;7587;
100;300;4;1000000;64;31930;56597519;10352;
100;300;4;1000000;64;10898;54672319;8460;
100;300;4;1000000;64;10743;54924767;33734;
100;300;4;1000000;64;10638;57111227;97641;
100;300;4;1000000;64;10725;55564184;51993;
100;400;4;1000000;64;22668;86857170;98901;
100;400;4;1000000;64;14911;77545418;41956;
100;400;4;1000000;64;14438;83293426;5591;
100;400;4;1000000;64;15092;74501400;46212;
100;400;4;1000000;64;14475;80345613;112640;
100;500;4;1000000;64;29169;110756612;79576;
100;500;4;1000000;64;18610;98490643;91572;
100;500;4;1000000;64;18325;100019315;51911;
100;500;4;1000000;64;19070;105432969;12877;
100;500;4;1000000;64;18625;99850285;8911;
100;600;4;1000000;64;31394;128000538;11945;
100;600;4;1000000;64;22538;132772870;8974;
100;600;4;1000000;64;22697;130327321;21207;
100;600;4;1000000;64;22723;124872263;45314;
100;600;4;1000000;64;22412;131108161;75700;
100;700;4;1000000;64;36959;181784323;19478;
100;700;4;1000000;64;26617;154443147;12601;
100;700;4;1000000;64;26568;159188397;7544;
100;700;4;1000000;64;26599;159616948;39727;
100;700;4;1000000;64;26363;152319693;165528;
100;800;4;1000000;64;41184;198834804;69453;
100;800;4;1000000;64;30619;199259216;79109;
100;800;4;1000000;64;30346;194526239;46297;
100;800;4;1000000;64;30486;196734639;47354;
100;800;4;1000000;64;30307;191865431;44468;
100;900;4;1000000;64;45193;242936943;57611;
100;900;4;1000000;64;34370;235868539;171870;
100;900;4;1000000;64;34130;244073230;85662;
100;900;4;1000000;64;34739;272555107;10955;
100;900;4;1000000;64;34375;241825775;24216;
100;1000;4;1000000;64;56222;293942429;36386;
100;1000;4;1000000;64;38396;292263257;7800;
100;1000;4;1000000;64;38364;301730863;1074520;
100;1000;4;1000000;64;38778;328516517;12238;
100;1000;4;1000000;64;44828;295330114;9753;
100;100;4;1000000;64;4260;18799656;5979;
100;100;4;1000000;64;3436;26248406;12953;
100;100;4;1000000;64;3559;20179256;6696;
100;100;4;1000000;64;3436;19244287;7627;
100;100;4;1000000;64;3446;19460613;5066;
100;100;4;2000000;64;3966;48392048;8157;
100;100;4;2000000;64;3515;59242452;10026;
100;100;4;2000000;64;3475;37984370;7810;
100;100;4;2000000;64;3554;41798571;4622;
100;100;4;2000000;64;3495;38651440;22408;
100;100;4;3000000;64;3943;77476021;70936;
100;100;4;3000000;64;3976;57698453;42780;
100;100;4;3000000;64;3442;57993655;54897;
100;100;4;3000000;64;3573;58111648;15070;
100;100;4;3000000;64;3428;68948989;14135;
100;100;4;4000000;64;4003;75651013;10730;
100;100;4;4000000;64;4239;76444332;5335;
100;100;4;4000000;64;3607;87105023;10491;
100;100;4;4000000;64;3906;81880269;214004;
100;100;4;4000000;64;3520;82990800;32772;
100;100;4;5000000;64;4114;94545230;6921;
100;100;4;5000000;64;3530;96632833;9862;
100;100;4;5000000;64;3956;95593244;13171;
100;100;4;5000000;64;3899;95592378;6416;
100;100;4;5000000;64;3966;95197109;9868;
100;100;4;6000000;64;3978;112274430;9608;
100;100;4;6000000;64;3995;120461002;7682;
100;100;4;6000000;64;3938;115080955;6453;
100;100;4;6000000;64;3961;114451186;13969;
100;100;4;6000000;64;3964;115635106;9919;
100;100;4;7000000;64;3963;147897897;13042;
100;100;4;7000000;64;3951;133280732;21050;
100;100;4;7000000;64;4755;133693290;50080;
100;100;4;7000000;64;3881;134934048;12826;
100;100;4;7000000;64;3995;132500873;11982;
100;100;4;8000000;64;3942;152347783;34883;
100;100;4;8000000;64;3946;155488762;40972;
100;100;4;8000000;64;3959;151582369;9986;
100;100;4;8000000;64;4193;149816771;70727;
100;100;4;8000000;64;3935;154850230;47387;
100;100;4;9000000;64;4002;170123121;11066;
100;100;4;9000000;64;3887;179881806;34007;
100;100;4;9000000;64;3944;172834015;6199;
100;100;4;9000000;64;3962;171973925;125127;
100;100;4;9000000;64;3988;173438612;34581;
100;100;4;10000000;64;3982;189693198;20548;
100;100;4;10000000;64;4258;190079109;5466;
100;100;4;10000000;64;3987;191097576;18528;
100;100;4;10000000;64;3975;189354205;6507;
100;100;4;10000000;64;3898;192501087;88008;
100;100;4;1000000;64;4170;21116662;9539;
100;100;4;1000000;64;3432;25029099;6327;
100;100;4;1000000;64;3433;22862498;10828;
100;100;4;1000000;64;3508;22368515;11233;
100;100;4;1000000;64;3435;23919671;11320;
200;100;4;1000000;64;4215;46725975;9940;
200;100;4;1000000;64;3758;43868456;8478;
200;100;4;1000000;64;3433;45020892;11688;
200;100;4;1000000;64;4185;45240401;9194;
200;100;4;1000000;64;3430;45477527;20106;
300;100;4;1000000;64;12044;66947523;5449;
300;100;4;1000000;64;4026;67218745;20997;
300;100;4;1000000;64;3559;70953520;40276;
300;100;4;1000000;64;3542;69409388;24513;
300;100;4;1000000;64;7550;64671184;8327;
400;100;4;1000000;64;4744;92981379;34708;
400;100;4;1000000;64;4131;90653625;136931;
400;100;4;1000000;64;4319;91205965;41465;
400;100;4;1000000;64;3517;89607410;13485;
400;100;4;1000000;64;3955;94987094;58572;
500;100;4;1000000;64;4243;116718194;14045;
500;100;4;1000000;64;3681;115252267;10251;
500;100;4;1000000;64;3904;113577902;13277;
500;100;4;1000000;64;3913;121414031;9117;
500;100;4;1000000;64;4023;114304804;16208;
600;100;4;1000000;64;4521;130455402;81091;
600;100;4;1000000;64;3944;141495999;21838;
600;100;4;1000000;64;3895;134084981;8870;
600;100;4;1000000;64;4271;133000017;10868;
600;100;4;1000000;64;3916;131969472;13785;
700;100;4;1000000;64;4228;155904122;13174;
700;100;4;1000000;64;3951;156641725;40528;
700;100;4;1000000;64;4178;160174234;85201;
700;100;4;1000000;64;3925;160152993;80200;
700;100;4;1000000;64;4246;161866455;79658;
800;100;4;1000000;64;4284;186415783;44522;
800;100;4;1000000;64;3937;179415669;46287;
800;100;4;1000000;64;3970;183736352;31779;
800;100;4;1000000;64;3889;176115012;13519;
800;100;4;1000000;64;3894;176955830;9214;
900;100;4;1000000;64;4531;204291344;97504;
900;100;4;1000000;64;4025;200037069;30980;
900;100;4;1000000;64;3943;195914650;16157;
900;100;4;1000000;64;3948;204123566;21271;
900;100;4;1000000;64;3928;201088305;14081;
1000;100;4;1000000;64;4246;219026703;11540;
1000;100;4;1000000;64;3912;223991444;31718;
1000;100;4;1000000;64;4616;221126702;12080;
1000;100;4;1000000;64;3885;221698256;13989;
1000;100;4;1000000;64;3951;221509026;10015;
100;100;4;1000000;64;3972;21649561;9223;
100;100;4;1000000;64;3440;21897816;8891;
100;100;4;1000000;64;3544;25051288;6852;
100;100;4;1000000;64;3445;25626334;10238;
100;100;4;1000000;64;4023;23461621;6544;
100;100;9;1000000;64;5879;26507208;11178;
100;100;9;1000000;64;4783;22813667;11650;
100;100;9;1000000;64;4470;23931288;8905;
100;100;9;1000000;64;4576;22474878;11824;
100;100;9;1000000;64;4467;23846675;10457;
100;100;14;1000000;64;6202;27839398;5780;
100;100;14;1000000;64;5749;24704468;10928;
100;100;14;1000000;64;5532;24643916;44027;
100;100;14;1000000;64;5517;24776083;20176;
100;100;14;1000000;64;5684;27321519;51910;
100;100;19;1000000;64;19044;33103667;86938;
100;100;19;1000000;64;13836;27226185;34681;
100;100;19;1000000;64;6512;27566450;90484;
100;100;19;1000000;64;6616;30195757;59156;
100;100;19;1000000;64;6592;27069549;38892;
100;100;24;1000000;64;8231;31183583;14155;
100;100;24;1000000;64;7792;30319858;9233;
100;100;24;1000000;64;7730;31201304;27878;
100;100;24;1000000;64;7525;30622333;35779;
100;100;24;1000000;64;7657;34391190;10747;
100;100;29;1000000;64;9658;39255592;8446;
100;100;29;1000000;64;8857;40102632;21055;
100;100;29;1000000;64;8588;35451369;33810;
100;100;29;1000000;64;8783;35514481;10539;
100;100;29;1000000;64;8620;37454661;20255;
100;100;34;1000000;64;10689;40124461;7092;
100;100;34;1000000;64;9916;39913666;58988;
100;100;34;1000000;64;9666;39431237;6107;
100;100;34;1000000;64;9627;38884414;63862;
100;100;34;1000000;64;9696;40624453;6619;
100;100;39;1000000;64;16388;44454632;19733;
100;100;39;1000000;64;10876;45270242;47052;
100;100;39;1000000;64;10585;45251578;50596;
100;100;39;1000000;64;10646;45237456;8279;
100;100;39;1000000;64;10547;43785017;6825;
100;100;44;1000000;64;22600;50007315;9818;
100;100;44;1000000;64;11784;54050669;11171;
100;100;44;1000000;64;11710;51231024;11475;
100;100;44;1000000;64;11579;49516433;8841;
100;100;44;1000000;64;11689;49353571;9240;
100;100;49;1000000;64;30137;55173600;7764;
100;100;49;1000000;64;12898;57183875;10912;
100;100;49;1000000;64;12581;57689526;10764;
100;100;49;1000000;64;12756;56039340;12618;
100;100;49;1000000;64;12595;56736645;28585;
